Cluster;Position;Attr0;Attr1;Attr2;Attr3;Attr4;Value
15;2;-1.0;-1.0;-1.0;-1.0;20.0;The section __ contains __ taken without attribution.
15;2;-1.0;-1.0;-1.0;-1.0;10.0;For me this implies the infringement of the citation ethics.
16;2;-1.0;-1.0;-1.0;30.0;-1.0;__ is not a good source for an academic publication.
17;2;-1.0;-1.0;90.0;80.0;-1.0;The majority of this bibliography was brought in by the student, independently.
18;1;70.0;-1.0;-1.0;-1.0;-1.0;The resulting text is shorter than usual, however __.
19;1;-1.0;-1.0;-1.0;75.0;75.0;The student's activity in acquisition and use of studying materials was slightly above the average.
20;1;100.0;-1.0;100.0;-1.0;-1.0;The thesis document is rich and rather extensive with detailed descriptions of the main parts.
21;1;100.0;-1.0;80.0;-1.0;-1.0;The theoretical part is extensive and the author tried to define all needed terms.
22;1;-1.0;-1.0;65.0;-1.0;-1.0;The thesis contains no serious misconceptions as far as I am concerned.
22;1;-1.0;-1.0;65.0;-1.0;-1.0;In general the thesis contains no factual errors.
22;1;-1.0;-1.0;65.0;-1.0;-1.0;I was unable to identify any significant mistakes.
23;1;20.0;-1.0;-1.0;-1.0;-1.0;In my opinion the size of the thesis is insufficent.
23;1;20.0;-1.0;-1.0;-1.0;-1.0;The presented thesis is incomplete and insufficent in size.
23;1;10.0;-1.0;-1.0;-1.0;-1.0;The written thesis is too short to be acceptable.
24;1;60.0;-1.0;40.0;-1.0;-1.0;The written thesis is sufficent in size, but the text is too brief and some parts should have been more detailed.
25;1;-1.0;-1.0;90.0;90.0;-1.0;The student did a great job identifying and discussing related work.
25;1;-1.0;-1.0;90.0;95.0;-1.0;The student has covered and surveyed a number of technologies, consistently finding resources and references addressing the state of the art in those technologies.
26;1;-1.0;-1.0;80.0;95.0;-1.0;Excellent work with different sources of literature for all parts of the thesis.
27;1;-1.0;35.0;-1.0;-1.0;-1.0;The section __ contains unnecessary information.
28;2;-1.0;20.0;-1.0;-1.0;-1.0;Particular sections require detailed explanation, while some parts are unnecessary.
29;1;-1.0;70.0;-1.0;-1.0;-1.0;I have found a few pieces of information that are not necessary to clearly understand the text. 
30;1;90.0;50.0;-1.0;-1.0;-1.0;Although the length of the text is sufficient, some of the parts could have been missed out.
31;1;-1.0;-1.0;0.0;-1.0;-1.0;The author seems to lack basic knowledge of the topic.
32;1;-1.0;-1.0;-1.0;0.0;-1.0;I miss any relevant sources of information on the topic.
33;1;0.0;-1.0;-1.0;-1.0;-1.0;The length of the text does not meet requirements.
34;1;-1.0;0.0;-1.0;-1.0;-1.0;I can identify unnecessary information in every part of the text.
